time,instrument,granularity,side,price,position_size,equity,drawdown
2025-10-01 08:00:00+00:00,EUR_USD,M15,BUY,1.17528,2503.72,100148.66,0.000314
2025-10-01 19:00:00+00:00,EUR_USD,M15,FLAT,1.17346,0.0,100144.8,0.000353
2025-10-02 09:00:00+00:00,EUR_USD,M15,BUY,1.17566,2503.62,100144.8,0.000353
2025-10-02 15:00:00+00:00,EUR_USD,M15,FLAT,1.17,0.0,100132.72,0.000473
2025-10-02 16:00:00+00:00,EUR_USD,M15,BUY,1.1703,2503.32,100132.72,0.000473
2025-10-02 18:30:00+00:00,EUR_USD,M15,FLAT,1.17182,0.0,100135.97,0.000441
2025-10-03 10:15:00+00:00,EUR_USD,M15,BUY,1.1736,2503.4,100135.97,0.000441
2025-10-06 00:15:00+00:00,EUR_USD,M15,FLAT,1.17121,0.0,100130.88,0.000492
2025-10-06 00:30:00+00:00,EUR_USD,M15,BUY,1.17111,2503.27,100130.88,0.000492
2025-10-06 02:45:00+00:00,EUR_USD,M15,FLAT,1.17271,0.0,100134.3,0.000457
2025-10-06 23:15:00+00:00,EUR_USD,M15,BUY,1.17094,2503.36,100134.3,0.000457
2025-10-07 07:00:00+00:00,EUR_USD,M15,FLAT,1.16813,0.0,100128.29,0.000518
2025-10-07 08:00:00+00:00,EUR_USD,M15,BUY,1.16812,2503.21,100128.29,0.000518
2025-10-07 09:45:00+00:00,EUR_USD,M15,FLAT,1.16666,0.0,100125.16,0.000549
2025-10-09 01:15:00+00:00,EUR_USD,M15,BUY,1.16449,2503.13,100125.16,0.000549
2025-10-09 06:45:00+00:00,EUR_USD,M15,FLAT,1.16158,0.0,100118.9,0.000611
2025-10-09 09:15:00+00:00,EUR_USD,M15,BUY,1.16216,2502.97,100118.9,0.000611
2025-10-09 14:15:00+00:00,EUR_USD,M15,FLAT,1.15802,0.0,100109.97,0.0007
2025-10-10 12:30:00+00:00,EUR_USD,M15,BUY,1.15734,2502.75,100109.97,0.0007
2025-10-10 15:15:00+00:00,EUR_USD,M15,FLAT,1.16273,0.0,100121.62,0.000584
2025-10-10 15:30:00+00:00,EUR_USD,M15,BUY,1.16148,2503.04,100121.62,0.000584
2025-10-13 13:30:00+00:00,EUR_USD,M15,FLAT,1.15692,0.0,100111.8,0.000682
2025-10-14 16:45:00+00:00,EUR_USD,M15,BUY,1.16095,2502.79,100111.8,0.000682
2025-10-15 22:15:00+00:00,EUR_USD,M15,FLAT,1.16478,0.0,100120.05,0.0006
2025-10-15 22:45:00+00:00,EUR_USD,M15,BUY,1.16466,2503.0,100120.05,0.0006
2025-10-16 00:30:00+00:00,EUR_USD,M15,FLAT,1.16649,0.0,100123.98,0.00056
2025-10-16 00:45:00+00:00,EUR_USD,M15,BUY,1.16632,2503.1,100123.98,0.00056
2025-10-16 01:00:00+00:00,EUR_USD,M15,FLAT,1.16634,0.0,100124.03,0.00056
2025-10-16 02:30:00+00:00,EUR_USD,M15,BUY,1.16645,2503.1,100124.03,0.00056
2025-10-16 05:00:00+00:00,EUR_USD,M15,FLAT,1.16554,0.0,100122.07,0.00058
2025-10-16 05:30:00+00:00,EUR_USD,M15,BUY,1.16578,2503.05,100122.07,0.00058
2025-10-16 23:15:00+00:00,EUR_USD,M15,FLAT,1.16972,0.0,100130.53,0.000495
2025-10-17 01:30:00+00:00,EUR_USD,M15,BUY,1.17023,2503.26,100130.53,0.000495
2025-10-17 11:15:00+00:00,EUR_USD,M15,FLAT,1.16854,0.0,100126.92,0.000531
2025-10-17 11:30:00+00:00,EUR_USD,M15,BUY,1.16862,2503.17,100126.92,0.000531
